Icon,Date/Time,Description,"Event Type"
true,"1997-07-11 13:00:00","/Program Files/Microsoft Office/Office12/BORDERS/MSART9.BDR","File Modified"
true,"1998-03-11 04:46:06","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE03795_.WMF","File Modified"
true,"1999-03-12 23:01:42","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0216858.WMF","File Modified"
true,"1998-03-11 08:15:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE04050_.WMF","File Modified"
true,"1999-03-30 21:50:04","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0221903.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Microsoft Office/Office12/CGMIMP32.HLP","File Modified"
true,"1999-11-12 20:39:06","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0298897.WMF","File Modified"
true,"1998-03-11 06:23:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE05710_.WMF","File Modified"
true,"1999-11-12 22:15:22","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0299587.WMF","File Modified"
true,"1998-03-11 08:17:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE05869_.WMF","File Modified"
true,"1999-11-12 22:20:40","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0299763.WMF","File Modified"
true,"1998-03-11 08:16:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE05870_.WMF","File Modified"
true,"1999-11-30 02:43:46","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0300520.GIF","File Modified"
true,"1998-03-11 06:59:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE05930_.WMF","File Modified"
true,"1999-12-14 04:51:12","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0301076.WMF","File Modified"
true,"1998-03-11 06:25:48","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE06049_.WMF","File Modified"
true,"1999-12-22 02:41:02","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0302953.JPG","File Modified"
true,"1999-12-14 05:19:14","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0304933.WMF","File Modified"
true,"1998-03-14 05:40:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH00601G.GIF","File Modified"
true,"2000-02-08 22:54:50","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0315447.JPG","File Modified"
true,"1998-03-14 06:52:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH00780U.BMP","File Modified"
true,"2000-04-27 07:48:20","/Program Files/Microsoft Office/MEDIA/CAGCAT10/J0336075.WMF","File Modified"
true,"1998-03-14 06:52:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH01035U.BMP","File Modified"
true,"1996-06-08 01:52:28","/Program Files/Common Files/Microsoft Shared/EQUATION/EQNEDT32.CNT","File Modified"
true,"1998-03-17 06:33:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH01179J.JPG","File Modified"
true,"2001-01-11 15:04:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/1033/OFFICE10.MML","File Modified"
true,"1998-08-25 04:21:04","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18200_.WMF","File Modified"
true,"1998-11-19 01:06:12","/Program Files/Common Files/Microsoft Shared/EQUATION/EQNEDT32.HLP","File Modified"
true,"1997-08-01 14:37:00","/Program Files/Common Files/Microsoft Shared/EQUATION/MTEXTRA.TTF","File Modified"
true,"1998-03-14 06:39:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH01235U.BMP","File Modified"
true,"1998-08-25 04:19:04","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18222_.WMF","File Modified"
true,"1998-03-14 06:51:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH01236U.BMP","File Modified"
true,"1998-08-25 04:52:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18180_.WMF","File Modified"
true,"1998-10-24 05:17:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18181_.WMF","File Modified"
true,"2002-06-13 23:38:26","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02028K.JPG","File Modified"
true,"1998-03-14 06:49:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02039U.BMP","File Modified"
true,"1998-08-25 04:32:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18182_.WMF","File Modified"
true,"2001-07-21 23:37:46","/WINDOWS/Help/digiras.chm","File Created"
true,"1998-03-14 06:49:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02040U.BMP","File Modified"
true,"1998-08-25 04:34:36","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18184_.WMF","File Modified"
true,"1998-03-14 07:49:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02053J.JPG","File Modified"
true,"1998-08-25 03:58:34","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18185_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/CGMIMP32.CFG","File Modified"
true,"1998-03-14 06:49:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02058U.BMP","File Modified"
true,"1998-08-25 04:13:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18187_.WMF","File Modified"
true,"1998-03-14 06:48:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02062U.BMP","File Modified"
true,"1998-08-25 04:17:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18189_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/CGMIMP32.FNT","File Modified"
true,"1998-03-14 07:47:32","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02069J.JPG","File Modified"
true,"1998-10-24 05:18:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18190_.WMF","File Modified"
true,"1998-03-14 06:48:26","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02071U.BMP","File Modified"
true,"1998-08-25 04:14:38","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18191_.WMF","File Modified"
true,"1998-03-14 06:47:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02074U.BMP","File Modified"
true,"1998-08-25 04:33:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18192_.WMF","File Modified"
true,"1998-03-14 06:47:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02208U.BMP","File Modified"
true,"1998-08-25 04:34:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18193_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.CGM","File Modified"
true,"1998-03-14 06:33:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02223U.BMP","File Modified"
true,"1998-08-25 04:08:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18194_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.EPS","File Modified"
true,"1998-03-14 06:46:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02291U.BMP","File Modified"
true,"1998-08-25 04:35:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18196_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.GIF","File Modified"
true,"1998-10-24 05:14:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18197_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.JPG","File Modified"
true,"1998-10-24 05:14:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18198_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.PNG","File Modified"
true,"1998-08-25 04:36:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18199_.WMF","File Modified"
true,"1997-08-19 14:37:00","/Program Files/Common Files/Microsoft Shared/GRPHFLT/MS.WPG","File Modified"
true,"1998-08-25 04:27:04","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18201_.WMF","File Modified"
true,"1998-10-24 05:14:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18202_.WMF","File Modified"
true,"1998-03-10 07:52:10","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01044_.WMF","File Modified"
true,"1998-08-25 04:08:36","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18203_.WMF","File Modified"
true,"1998-03-10 07:51:48","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01063_.WMF","File Modified"
true,"1998-09-11 11:02:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18204_.WMF","File Modified"
true,"1998-08-25 04:37:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18205_.WMF","File Modified"
true,"1998-03-10 03:29:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01560_.WMF","File Modified"
true,"1998-09-11 08:42:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18206_.WMF","File Modified"
true,"1998-03-10 00:07:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01561_.WMF","File Modified"
true,"1998-08-25 04:28:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18207_.WMF","File Modified"
true,"1998-03-10 00:07:38","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01563_.WMF","File Modified"
true,"1998-08-25 04:29:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18210_.WMF","File Modified"
true,"1998-03-10 00:07:32","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01566_.WMF","File Modified"
true,"1998-10-24 05:18:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18211_.WMF","File Modified"
true,"1998-03-10 02:54:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01568_.WMF","File Modified"
true,"1998-09-11 09:34:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18212_.WMF","File Modified"
true,"1998-08-25 04:21:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18213_.WMF","File Modified"
true,"1999-03-13 08:45:28","/Program Files/Microsoft Office/Office12/GREN50.OLB","File Modified"
true,"1999-11-20 02:39:52","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01569_.WMF","File Modified"
true,"1998-03-09 21:16:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01575_.WMF","File Modified"
true,"1998-08-25 04:24:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18214_.WMF","File Modified"
true,"1998-03-10 07:53:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01777_.WMF","File Modified"
true,"1998-08-25 04:15:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18215_.WMF","File Modified"
true,"1998-08-25 04:30:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18216_.WMF","File Modified"
true,"1998-03-10 07:52:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01805_.WMF","File Modified"
true,"1998-08-25 03:56:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18217_.WMF","File Modified"
true,"1998-03-10 00:15:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01905_.WMF","File Modified"
true,"1998-09-11 09:24:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18220_.WMF","File Modified"
